id,from,to,subject,body,label
1,cameron.tv1@university.ca,you@company.com,Document Signature Request,"There is a pending approval on your account. Please sign in to continue. Sign in to approve the request.

Request ID: HALLEPB7R5
Portal: http://account-verify.example.net/Z01K0H

If you did not request this, confirm immediately.
Security Team",1
2,riley.wci@portal-access.org,you@example.com,Invoice Attached,"Your account preferences need confirmation. Confirm your details at the portal.

Request ID: PE0MS7UFYB
Portal: http://secure-login.example.com/JAUPBL

This request is time-sensitive.
Library",1
3,jamie.64i@example.com,you@service-mail.net,Account Notice,"A shared file requires verification to display correctly. Confirm your details at the portal.

Request ID: 8DAZOQVNIA
Portal: http://update-billing.example.org/57KQLC

Thank you for your prompt attention.
Student Services",1
4,avery.vpi@company.com,you@portal-access.org,Shared File: Review Needed,"We noticed an issue processing your recent request. Please confirm details. Please sign in to review.

Request ID: EV9ZQFC0C3
Portal: http://service-mail.net/XR67WD

Thank you for your prompt attention.
Student Services",1
5,casey.ugl@portal-access.org,you@university.ca,Security Check,"We noticed an issue processing your recent request. Please confirm details. Sign in to approve the request.

Request ID: P3GZL88LVD
Portal: http://update-billing.example.org/OWWMBE

Failure to act may result in account suspension.
Payroll",1
6,jamie.3xg@portal-access.org,you@example.com,Team Access Request,"There is a pending approval on your account. Please sign in to continue. Confirm your details at the portal.

Request ID: KZHVVP50G3
Portal: http://delivery-confirm.example.co/K49FNB

This request is time-sensitive.
Logistics",1
7,drew.rv9@example.com,you@example.com,Action Needed: Confirm Details,"Your access may require re-authentication due to routine checks. Please sign in to review.

Request ID: 93SVEX91JY
Portal: http://account-verify.example.net/0G8DDK

Thank you for your prompt attention.
HR",1
8,drew.22t@company.com,you@university.ca,Re: Previous Conversation,"A voicemail message is ready. Sign in to listen. Use the secure portal to confirm.

Request ID: AU5CW5GRT3
Portal: http://signin-docs.example.info/Q4K91O

Failure to act may result in account suspension.
IT Support",1
9,cameron.bns@university.ca,you@portal-access.org,Team Access Request,"Your access may require re-authentication due to routine checks. Confirm your details at the portal.

Request ID: I2DNUXMJW5
Portal: http://signin-docs.example.info/8SKU6T

Failure to act may result in account suspension.
Project Office",1
10,quinn.lef@service-mail.net,you@university.ca,Re: Previous Conversation,"A shared file requires verification to display correctly. Please sign in to review.

Request ID: 3ALFV2EK4Y
Portal: http://secure-login.example.com/DY2OFX

Thank you for your prompt attention.
Student Services",1
11,taylor.5ad@university.ca,you@service-mail.net,Action Needed: Confirm Details,"We noticed an issue processing your recent request. Please confirm details. Sign in to approve the request.

Request ID: IN2TVQ0D1T
Portal: http://update-billing.example.org/W5UVFL

If you did not request this, confirm immediately.
Logistics",1
12,morgan.tnj@company.com,you@example.com,Updated Policy Document,"We noticed an issue processing your recent request. Please confirm details. Confirm your details at the portal.

Request ID: NMF3Q3MLS0
Portal: http://portal-access.org/5MYO51

Failure to act may result in account suspension.
Project Office",1
13,drew.ai2@university.ca,you@service-mail.net,Invoice Attached,"A voicemail message is ready. Sign in to listen. Open the shared link to view the document.

Request ID: 3TTTOUD7DE
Portal: http://secure-login.example.com/YX3Y7B

Failure to act may result in account suspension.
Security Team",1
14,jamie.t8a@service-mail.net,you@portal-access.org,Account Notice,"Your account preferences need confirmation. Sign in to approve the request.

Request ID: ORK82YK0R2
Portal: http://service-mail.net/N5YQU2

If you did not request this, confirm immediately.
Finance",1
15,jamie.vm9@university.ca,you@service-mail.net,Updated Policy Document,"Your access may require re-authentication due to routine checks. Open the shared link to view the document.

Request ID: N9XBECULJQ
Portal: http://portal-access.org/C64UPL

Do not ignore this message.
Finance",1
16,jordan.uwg@service-mail.net,you@service-mail.net,Shared File: Review Needed,"There is a pending approval on your account. Please sign in to continue. Confirm your details at the portal.

Request ID: T7XHIIMOKA
Portal: http://portal-access.org/P72O01

This request is time-sensitive.
Student Services",1
17,morgan.4m6@example.com,you@example.com,Updated Policy Document,"Hi, please review the attached document and confirm receipt. Open the shared link to view the document.

Request ID: G4543RGJ09
Portal: http://signin-docs.example.info/EAMMVE

Thank you for your prompt attention.
Student Services",1
18,taylor.znu@company.com,you@example.com,Updated Policy Document,"There is a pending approval on your account. Please sign in to continue. Use the secure portal to confirm.

Request ID: 9LHSAHOJLT
Portal: http://delivery-confirm.example.co/CTZXCU

If you did not request this, confirm immediately.
Finance",1
19,sam.7tj@portal-access.org,you@example.com,Team Access Request,"Your access may require re-authentication due to routine checks. Use the secure portal to confirm.

Request ID: UIZXD7CZMF
Portal: http://update-billing.example.org/C92Q28

Failure to act may result in account suspension.
IT Support",1
20,quinn.ej3@university.ca,you@company.com,Team Access Request,"A shared file requires verification to display correctly. Sign in to approve the request.

Request ID: 4H4ATUF7PG
Portal: http://signin-docs.example.info/OVPADZ

If you did not request this, confirm immediately.
Payroll",1
21,alex.fnq@portal-access.org,you@company.com,Security Check,"Your access may require re-authentication due to routine checks. Use the secure portal to confirm.

Request ID: JIDQ7XIIDV
Portal: http://secure-login.example.com/EP972Q

Do not ignore this message.
Registrar",1
22,drew.uli@university.ca,you@university.ca,New Voicemail Notification,"There is a pending approval on your account. Please sign in to continue. Open the shared link to view the document.

Request ID: 0YNEW1RRYV
Portal: http://secure-login.example.com/PGQT69

Failure to act may result in account suspension.
Security Team",1
23,avery.wh4@service-mail.net,you@example.com,Document Signature Request,"A shared file requires verification to display correctly. Open the shared link to view the document.

Request ID: HM9CLR0W7Y
Portal: http://signin-docs.example.info/ACBPAS

This request is time-sensitive.
Student Services",1
24,casey.977@portal-access.org,you@service-mail.net,Re: Previous Conversation,"We noticed an issue processing your recent request. Please confirm details. Sign in to approve the request.

Request ID: 2AIL5SBKV3
Portal: http://update-billing.example.org/D2OSPP

This request is time-sensitive.
Project Office",1
25,taylor.2ea@company.com,you@portal-access.org,Updated Policy Document,"We noticed an issue processing your recent request. Please confirm details. Open the shared link to view the document.

Request ID: J7TAMMC963
Portal: http://update-billing.example.org/APE032

If you did not request this, confirm immediately.
Registrar",1
26,drew.4mx@portal-access.org,you@service-mail.net,Invoice Attached,"A shared file requires verification to display correctly. Please sign in to review.

Request ID: VYSY8UFTWW
Portal: http://secure-login.example.com/AGIG9O

Thank you for your prompt attention.
Library",1
27,casey.ybb@university.ca,you@portal-access.org,Document Signature Request,"Hi, please review the attached document and confirm receipt. Please sign in to review.

Request ID: HQ7IBMNI7N
Portal: http://update-billing.example.org/DDTR5D

Do not ignore this message.
Logistics",1
28,jamie.2na@portal-access.org,you@university.ca,Re: Previous Conversation,"There is a pending approval on your account. Please sign in to continue. Open the shared link to view the document.

Request ID: JF5W7GJSCK
Portal: http://delivery-confirm.example.co/TR6UWV

This request is time-sensitive.
HR",1
29,jordan.xxc@service-mail.net,you@service-mail.net,Invoice Attached,"A voicemail message is ready. Sign in to listen. Please sign in to review.

Request ID: FFTN3R3Y4E
Portal: http://service-mail.net/JLFSLV

Failure to act may result in account suspension.
Security Team",1
30,drew.mh4@service-mail.net,you@example.com,New Voicemail Notification,"We noticed an issue processing your recent request. Please confirm details. Use the secure portal to confirm.

Request ID: UELWYWWNCA
Portal: http://signin-docs.example.info/456C1G

Do not ignore this message.
HR",1
31,casey.fcm@example.com,you@company.com,Action Needed: Confirm Details,"There is a pending approval on your account. Please sign in to continue. Use the secure portal to confirm.

Request ID: IND2GEKXWS
Portal: http://portal-access.org/41HTGI

Do not ignore this message.
Logistics",1
32,casey.627@company.com,you@example.com,Re: Previous Conversation,"There is a pending approval on your account. Please sign in to continue. Use the secure portal to confirm.

Request ID: U81DN7P8N0
Portal: http://secure-login.example.com/UU9YFY

Failure to act may result in account suspension.
Security Team",1
33,casey.sxf@example.com,you@example.com,Account Notice,"There is a pending approval on your account. Please sign in to continue. Open the shared link to view the document.

Request ID: PQ0C2OJK8P
Portal: http://delivery-confirm.example.co/0Z5ZBR

This request is time-sensitive.
HR",1
34,jordan.ehn@service-mail.net,you@example.com,New Voicemail Notification,"Hi, please review the attached document and confirm receipt. Use the secure portal to confirm.

Request ID: PMSTNEAU8K
Portal: http://account-verify.example.net/ML0R2A

Do not ignore this message.
Payroll",1
35,sam.j6i@example.com,you@university.ca,Re: Previous Conversation,"A shared file requires verification to display correctly. Sign in to approve the request.

Request ID: 8XV3MB8TUC
Portal: http://signin-docs.example.info/0NXK7N

If you did not request this, confirm immediately.
Finance",1
36,avery.zhr@portal-access.org,you@university.ca,Shared File: Review Needed,"We noticed an issue processing your recent request. Please confirm details. Open the shared link to view the document.

Request ID: 9SYJC1DRIC
Portal: http://service-mail.net/5N46E3

Failure to act may result in account suspension.
Library",1
37,casey.qfz@portal-access.org,you@example.com,Team Access Request,"A shared file requires verification to display correctly. Use the secure portal to confirm.

Request ID: J70SV48VB5
Portal: http://secure-login.example.com/FIESUQ

Do not ignore this message.
Payroll",1
38,morgan.9av@company.com,you@company.com,Updated Policy Document,"Your access may require re-authentication due to routine checks. Open the shared link to view the document.

Request ID: NQJ06ES85Q
Portal: http://secure-login.example.com/DQS2GK

This request is time-sensitive.
Logistics",1
39,jordan.edb@example.com,you@portal-access.org,Account Notice,"We noticed an issue processing your recent request. Please confirm details. Use the secure portal to confirm.

Request ID: BDCN8MZBST
Portal: http://account-verify.example.net/DUQL3Y

This request is time-sensitive.
Student Services",1
40,drew.mi9@company.com,you@university.ca,Updated Policy Document,"Your access may require re-authentication due to routine checks. Confirm your details at the portal.

Request ID: 8IRHYAE1Y8
Portal: http://secure-login.example.com/CGUH7D

Do not ignore this message.
Library",1
41,cameron.u9w@university.ca,you@company.com,Re: Previous Conversation,"A shared file requires verification to display correctly. Sign in to approve the request.

Request ID: EIXCDJ2TM8
Portal: http://signin-docs.example.info/UIU4NP

Failure to act may result in account suspension.
HR",1
42,cameron.467@university.ca,you@example.com,Re: Previous Conversation,"A shared file requires verification to display correctly. Use the secure portal to confirm.

Request ID: ASLV3QWKJS
Portal: http://portal-access.org/TI1RMJ

This request is time-sensitive.
Project Office",1
43,jordan.7qs@example.com,you@company.com,Re: Previous Conversation,"Hi, please review the attached document and confirm receipt. Use the secure portal to confirm.

Request ID: MPYFN2YVDH
Portal: http://service-mail.net/JBXU7T

Thank you for your prompt attention.
Registrar",1
44,avery.fmy@company.com,you@portal-access.org,New Voicemail Notification,"A shared file requires verification to display correctly. Use the secure portal to confirm.

Request ID: 8DATMIFONN
Portal: http://update-billing.example.org/DWBNSA

Thank you for your prompt attention.
IT Support",1
45,taylor.bxx@university.ca,you@company.com,Shared File: Review Needed,"Your access may require re-authentication due to routine checks. Open the shared link to view the document.

Request ID: MF5ZACU8W5
Portal: http://service-mail.net/DUGLFQ

Do not ignore this message.
HR",1
46,jordan.nn1@service-mail.net,you@company.com,Document Signature Request,"A shared file requires verification to display correctly. Confirm your details at the portal.

Request ID: L6240FTJKH
Portal: http://delivery-confirm.example.co/U7LTFK

Failure to act may result in account suspension.
Registrar",1
